algo,track,nonce,quality,wall_clock_s,status
dynamic,n_items=1000,budget=25,_AGG,0,8.60,finished5_invalid0
dynamic,n_items=1000,budget=25,0,-1000000,_,ok
dynamic,n_items=1000,budget=25,1,-1000000,_,ok
dynamic,n_items=1000,budget=25,2,-1000000,_,ok
dynamic,n_items=1000,budget=25,3,-1000000,_,ok
dynamic,n_items=1000,budget=25,4,-1000000,_,ok
dynamic,n_items=1000,budget=10,_AGG,0,9.70,finished5_invalid0
dynamic,n_items=1000,budget=10,0,-1000000,_,ok
dynamic,n_items=1000,budget=10,1,-1000000,_,ok
dynamic,n_items=1000,budget=10,2,-1000000,_,ok
dynamic,n_items=1000,budget=10,3,-1000000,_,ok
dynamic,n_items=1000,budget=10,4,-1000000,_,ok
knapmaxxing,n_items=1000,budget=25,_AGG,0,16.96,finished5_invalid0
knapmaxxing,n_items=1000,budget=25,0,-1000000,_,ok
knapmaxxing,n_items=1000,budget=25,1,-1000000,_,ok
knapmaxxing,n_items=1000,budget=25,2,-1000000,_,ok
knapmaxxing,n_items=1000,budget=25,3,-1000000,_,ok
knapmaxxing,n_items=1000,budget=25,4,-1000000,_,ok
knapmaxxing,n_items=1000,budget=10,_AGG,0,12.05,finished5_invalid0
knapmaxxing,n_items=1000,budget=10,0,-1000000,_,ok
knapmaxxing,n_items=1000,budget=10,1,-1000000,_,ok
knapmaxxing,n_items=1000,budget=10,2,-1000000,_,ok
knapmaxxing,n_items=1000,budget=10,3,-1000000,_,ok
knapmaxxing,n_items=1000,budget=10,4,-1000000,_,ok
knapheudp,n_items=1000,budget=25,_AGG,0,14.75,finished5_invalid0
knapheudp,n_items=1000,budget=25,0,-1000000,_,ok
knapheudp,n_items=1000,budget=25,1,-1000000,_,ok
knapheudp,n_items=1000,budget=25,2,-1000000,_,ok
knapheudp,n_items=1000,budget=25,3,-1000000,_,ok
knapheudp,n_items=1000,budget=25,4,-1000000,_,ok
knapheudp,n_items=1000,budget=10,_AGG,0,10.32,finished5_invalid0
knapheudp,n_items=1000,budget=10,0,-1000000,_,ok
knapheudp,n_items=1000,budget=10,1,-1000000,_,ok
