algo,track,n,quality_mean,quality_std,quality_min,quality_max
dynamic,"n_items=1000,budget=10",5,-1000000,0.0,-1000000,-1000000
dynamic,"n_items=1000,budget=25",5,-1000000,0.0,-1000000,-1000000
knapmaxxing,"n_items=1000,budget=10",5,-1000000,0.0,-1000000,-1000000
knapmaxxing,"n_items=1000,budget=25",5,-1000000,0.0,-1000000,-1000000
knapheudp,"n_items=1000,budget=10",5,-800000.2,447213.1482863624,-1000000,-1
knapheudp,"n_items=1000,budget=25",5,-1000000,0.0,-1000000,-1000000
classic_quadkp,"n_items=1000,budget=10",5,-1000000,0.0,-1000000,-1000000
classic_quadkp,"n_items=1000,budget=25",5,-1000000,0.0,-1000000,-1000000
quadkp_improved,"n_items=1000,budget=10",5,-800000.2,447213.1482863624,-1000000,-1
quadkp_improved,"n_items=1000,budget=25",5,-800000,447213.5954999579,-1000000,0
knap_one,"n_items=1000,budget=10",5,-1000000,0.0,-1000000,-1000000
knap_one,"n_items=1000,budget=25",5,-1000000,0.0,-1000000,-1000000
knapsack_redone,"n_items=1000,budget=10",5,-1000000,0.0,-1000000,-1000000
knapsack_redone,"n_items=1000,budget=25",5,-1000000,0.0,-1000000,-1000000
near_knap,"n_items=1000,budget=10",5,223693.2,55106.43285225419,132625,270100
near_knap,"n_items=1000,budget=25",5,36671.8,11733.169635695207,21425,46481
near_knap_v4,"n_items=1000,budget=10",5,239810.8,55071.33622130482,151188,285147
near_knap_v4,"n_items=1000,budget=25",5,50156.4,12462.054878710815,39593,66269
